start_time,end_time,duration_hours,sleep_stage
2025-12-31 08:35:52 -0800,2025-12-31 09:01:47 -0800,0.4319,Core Sleep
2025-12-31 09:01:47 -0800,2025-12-31 09:06:16 -0800,0.0747,Awake
2025-12-31 09:06:16 -0800,2025-12-31 09:40:10 -0800,0.5650,Core Sleep
2025-12-31 09:40:10 -0800,2025-12-31 09:52:07 -0800,0.1992,REM Sleep
2026-01-01 03:22:20 -0800,2026-01-01 03:42:16 -0800,0.3322,Core Sleep
2026-01-01 03:42:16 -0800,2026-01-01 04:09:11 -0800,0.4486,Deep Sleep
2026-01-01 04:09:11 -0800,2026-01-01 04:22:08 -0800,0.2158,Core Sleep
2026-01-01 04:22:08 -0800,2026-01-01 04:22:38 -0800,0.0083,Deep Sleep
2026-01-01 04:22:38 -0800,2026-01-01 04:24:08 -0800,0.0250,Core Sleep
2026-01-01 04:24:08 -0800,2026-01-01 04:32:06 -0800,0.1328,Deep Sleep
2026-01-01 04:32:06 -0800,2026-01-01 04:45:04 -0800,0.2161,Core Sleep
2026-01-01 04:45:04 -0800,2026-01-01 04:46:34 -0800,0.0250,Awake
2026-01-01 04:46:34 -0800,2026-01-01 04:54:02 -0800,0.1244,Core Sleep
2026-01-01 04:54:02 -0800,2026-01-01 05:07:59 -0800,0.2325,REM Sleep
2026-01-01 05:07:59 -0800,2026-01-01 05:37:24 -0800,0.4903,Core Sleep
2026-01-01 05:37:24 -0800,2026-01-01 05:49:51 -0800,0.2075,Deep Sleep
2026-01-01 05:49:51 -0800,2026-01-01 06:10:17 -0800,0.3406,Core Sleep
2026-01-01 06:10:17 -0800,2026-01-01 06:13:47 -0800,0.0583,Awake
2026-01-01 06:13:47 -0800,2026-01-01 06:41:11 -0800,0.4567,Core Sleep
2026-01-01 06:41:11 -0800,2026-01-01 07:06:36 -0800,0.4236,REM Sleep
2026-01-01 07:06:36 -0800,2026-01-01 07:07:36 -0800,0.0167,Awake
2026-01-01 07:07:36 -0800,2026-01-01 08:15:52 -0800,1.1378,Core Sleep
2026-01-01 08:15:52 -0800,2026-01-01 08:58:43 -0800,0.7142,REM Sleep
