timestamp,value_ms
2025-12-28 15:42:24 -0800,108.046
2025-12-28 17:44:39 -0800,108.908
2025-12-28 19:34:03 -0800,79.7048
2025-12-28 23:38:27 -0800,148.325
2025-12-29 01:02:40 -0800,88.2598
2025-12-29 03:02:34 -0800,76.6066
2025-12-29 05:02:38 -0800,124.922
2025-12-29 07:02:37 -0800,191.74
2025-12-29 09:04:13 -0800,167.085
2025-12-29 13:43:38 -0800,99.7755
2025-12-29 20:15:40 -0800,87.1232
2025-12-29 21:05:00 -0800,81.4497
2025-12-29 23:04:49 -0800,153.139
2025-12-30 01:34:19 -0800,183.316
2025-12-30 03:02:39 -0800,115.089
2025-12-30 05:02:43 -0800,84.2015
2025-12-30 07:02:41 -0800,123.349
2025-12-30 09:02:39 -0800,124.808
2025-12-30 12:07:02 -0800,52.5252
2025-12-30 13:28:02 -0800,137.206
2025-12-30 17:21:43 -0800,145.033
2025-12-30 18:22:28 -0800,112.117
2025-12-30 19:02:38 -0800,77.5193
2025-12-30 21:05:50 -0800,62.5754
2025-12-30 23:02:42 -0800,115.21
2025-12-31 01:50:17 -0800,146.095
2025-12-31 03:02:38 -0800,87.9273
2025-12-31 05:02:41 -0800,126.319
2025-12-31 07:02:39 -0800,88.6261
2025-12-31 09:02:41 -0800,235.1
2025-12-31 12:14:10 -0800,100.593
2025-12-31 13:54:01 -0800,96.639
2025-12-31 15:19:28 -0800,136.839
2025-12-31 18:00:49 -0800,65.777
2025-12-31 20:55:08 -0800,61.8989
2026-01-01 03:14:33 -0800,136.681
2026-01-01 05:02:36 -0800,45.9798
2026-01-01 07:02:39 -0800,122.889
2026-01-01 09:02:37 -0800,168.284
2026-01-01 11:07:22 -0800,112.706
2026-01-01 19:07:22 -0800,142.928
2026-01-01 19:38:31 -0800,160.252
2026-01-01 21:45:20 -0800,132.62
2026-01-02 02:15:58 -0800,101.836
2026-01-02 03:02:41 -0800,102.438
2026-01-02 05:02:40 -0800,146.515
2026-01-02 07:02:41 -0800,109.268
2026-01-02 09:02:41 -0800,120.096
2026-01-02 11:55:48 -0800,47.4632
2026-01-02 20:34:07 -0800,32.9343
2026-01-02 21:35:50 -0800,98.6152
2026-01-03 03:10:39 -0800,81.2921
2026-01-03 03:13:24 -0800,89.3775
2026-01-03 05:02:42 -0800,69.8982
2026-01-03 07:02:37 -0800,96.7878
2026-01-03 09:02:36 -0800,189.756
2026-01-03 12:46:31 -0800,99.0827
2026-01-03 15:21:52 -0800,78.1831
2026-01-03 23:42:50 -0800,100.488
2026-01-04 10:06:30 -0800,67.6048
2026-01-04 11:42:55 -0800,93.3645
2026-01-04 14:44:50 -0800,100.782
2026-01-04 17:07:38 -0800,104.615
2026-01-04 22:45:47 -0800,61.6056
2026-01-04 22:46:51 -0800,71.757
2026-01-05 09:09:25 -0800,95.6202
2026-01-05 10:38:50 -0800,120.108
2026-01-05 14:53:58 -0800,59.3101
2026-01-05 16:51:21 -0800,91.0938
2026-01-05 18:38:33 -0800,162.144
2026-01-05 20:38:49 -0800,100.576
